Customer_Index,tenure,MonthlyCharges,TotalCharges,Contract_One year,Contract_Two year,InternetService_Fiber optic,Churn_Probability,Risk_Tier,Churn_Actual,Churn_Predicted,Top_3_Drivers,Recommended_Action
984,3,96.6,291.9,0,0,1,0.9613484,High Risk,1,1,charges_per_tenure (+1.081) | MonthlyCharges (+0.306) | InternetService_Fiber optic (+0.230),Priority call — offer annual plan + early loyalty reward
1037,7,98.05,713.0,0,0,1,0.96081007,High Risk,1,1,charges_per_tenure (+1.192) | MonthlyCharges (+0.451) | InternetService_Fiber optic (+0.258),Priority call — offer annual plan + early loyalty reward
553,1,76.35,76.35,0,0,1,0.9601768,High Risk,1,1,charges_per_tenure (+1.887) | TotalCharges (+0.295) | InternetService_Fiber optic (+0.220),Priority call — offer annual plan + early loyalty reward
1220,1,69.9,69.9,0,0,1,0.95975477,High Risk,1,1,charges_per_tenure (+1.746) | InternetService_Fiber optic (+0.220) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
728,1,69.9,69.9,0,0,1,0.95975477,High Risk,0,1,charges_per_tenure (+1.746) | InternetService_Fiber optic (+0.220) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
1351,1,69.5,69.5,0,0,1,0.9590441,High Risk,1,1,charges_per_tenure (+1.768) | TotalCharges (+0.247) | Contract_Two year (+0.216),Priority call — offer annual plan + early loyalty reward
468,1,74.5,74.5,0,0,1,0.95868886,High Risk,1,1,charges_per_tenure (+1.682) | InternetService_Fiber optic (+0.229) | Contract_Two year (+0.212),Priority call — offer annual plan + early loyalty reward
211,3,94.85,335.75,0,0,1,0.95519257,High Risk,0,1,charges_per_tenure (+1.038) | MultipleLines (+0.235) | InternetService_Fiber optic (+0.221),Priority call — offer annual plan + early loyalty reward
397,1,69.75,69.75,0,0,1,0.95507544,High Risk,1,1,charges_per_tenure (+1.659) | Contract_Two year (+0.213) | InternetService_Fiber optic (+0.201),Priority call — offer annual plan + early loyalty reward
147,9,99.3,918.75,0,0,1,0.9546912,High Risk,0,1,charges_per_tenure (+1.027) | MonthlyCharges (+0.560) | InternetService_Fiber optic (+0.280),Priority call — offer annual plan + early loyalty reward
222,1,76.4,76.4,0,0,1,0.95391506,High Risk,1,1,charges_per_tenure (+1.789) | TotalCharges (+0.287) | Contract_Two year (+0.220),Priority call — offer annual plan + early loyalty reward
115,1,89.55,89.55,0,0,1,0.9519098,High Risk,1,1,charges_per_tenure (+1.680) | InternetService_Fiber optic (+0.235) | Contract_Two year (+0.216),Priority call — offer annual plan + early loyalty reward
1257,1,85.55,85.55,0,0,1,0.9518608,High Risk,1,1,charges_per_tenure (+1.771) | high_risk_flag (+0.237) | Contract_Two year (+0.223),Priority call — offer annual plan + early loyalty reward
988,1,88.35,88.35,0,0,1,0.9518028,High Risk,1,1,charges_per_tenure (+1.704) | InternetService_Fiber optic (+0.235) | Contract_Two year (+0.216),Priority call — offer annual plan + early loyalty reward
1169,2,86.85,156.35,0,0,1,0.9505501,High Risk,1,1,charges_per_tenure (+1.506) | Contract_Two year (+0.217) | high_risk_flag (+0.198),Priority call — offer annual plan + early loyalty reward
1338,11,100.75,1129.75,0,0,1,0.95054054,High Risk,1,1,charges_per_tenure (+0.746) | TotalCharges (+0.337) | InternetService_Fiber optic (+0.301),Priority call — offer annual plan + early loyalty reward
760,1,75.7,75.7,0,0,1,0.9493463,High Risk,1,1,charges_per_tenure (+1.752) | TotalCharges (+0.270) | InternetService_Fiber optic (+0.231),Priority call — offer annual plan + early loyalty reward
186,1,80.5,80.5,0,0,1,0.9480125,High Risk,1,1,charges_per_tenure (+1.801) | InternetService_Fiber optic (+0.224) | high_risk_flag (+0.217),Priority call — offer annual plan + early loyalty reward
1254,4,89.2,346.2,0,0,1,0.9478335,High Risk,1,1,charges_per_tenure (+1.118) | MultipleLines (+0.236) | InternetService_Fiber optic (+0.231),Priority call — offer annual plan + early loyalty reward
816,1,90.85,90.85,0,0,1,0.9459722,High Risk,1,1,charges_per_tenure (+1.697) | high_risk_flag (+0.238) | InternetService_Fiber optic (+0.232),Priority call — offer annual plan + early loyalty reward
596,1,80.05,80.05,0,0,1,0.9437292,High Risk,1,1,charges_per_tenure (+1.707) | high_risk_flag (+0.227) | InternetService_Fiber optic (+0.221),Priority call — offer annual plan + early loyalty reward
407,7,96.2,639.7,0,0,1,0.94363135,High Risk,0,1,charges_per_tenure (+1.058) | MonthlyCharges (+0.405) | InternetService_Fiber optic (+0.254),Priority call — offer annual plan + early loyalty reward
88,1,70.25,70.25,0,0,1,0.94190013,High Risk,0,1,charges_per_tenure (+1.539) | InternetService_Fiber optic (+0.219) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
703,1,70.25,70.25,0,0,1,0.94190013,High Risk,1,1,charges_per_tenure (+1.539) | InternetService_Fiber optic (+0.219) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
502,2,81.5,162.55,0,0,1,0.9391027,High Risk,0,1,charges_per_tenure (+1.377) | Contract_Two year (+0.214) | Contract_One year (+0.207),Priority call — offer annual plan + early loyalty reward
414,3,94.9,273.2,0,0,1,0.93902177,High Risk,0,1,charges_per_tenure (+1.027) | InternetService_Fiber optic (+0.224) | high_risk_flag (+0.214),Priority call — offer annual plan + early loyalty reward
402,6,90.75,512.25,0,0,1,0.9390192,High Risk,0,1,charges_per_tenure (+1.127) | InternetService_Fiber optic (+0.254) | MultipleLines (+0.213),Priority call — offer annual plan + early loyalty reward
1285,1,93.3,93.3,0,0,1,0.93821067,High Risk,1,1,charges_per_tenure (+1.566) | InternetService_Fiber optic (+0.238) | MultipleLines (+0.205),Priority call — offer annual plan + early loyalty reward
446,1,70.35,70.35,0,0,1,0.93728876,High Risk,0,1,charges_per_tenure (+1.511) | InternetService_Fiber optic (+0.219) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
248,4,93.5,362.2,0,0,1,0.93717843,High Risk,1,1,charges_per_tenure (+1.229) | MultipleLines (+0.254) | InternetService_Fiber optic (+0.241),Priority call — offer annual plan + early loyalty reward
569,1,25.2,25.2,0,0,0,0.936204,High Risk,1,1,charges_per_tenure (+0.930) | SeniorCitizen (+0.463) | PhoneService (+0.360),Priority call — offer annual plan + early loyalty reward
349,1,69.9,69.9,0,0,1,0.9361005,High Risk,1,1,charges_per_tenure (+1.776) | high_risk_flag (+0.226) | Contract_Two year (+0.215),Priority call — offer annual plan + early loyalty reward
699,3,41.15,132.2,0,0,0,0.934765,High Risk,1,1,charges_per_tenure (+0.816) | PhoneService (+0.355) | SeniorCitizen (+0.285),Priority call — offer annual plan + early loyalty reward
439,2,85.7,169.8,0,0,1,0.93211573,High Risk,1,1,charges_per_tenure (+1.172) | InternetService_Fiber optic (+0.219) | Contract_Two year (+0.209),Priority call — offer annual plan + early loyalty reward
615,3,85.3,264.8,0,0,1,0.93207544,High Risk,1,1,charges_per_tenure (+1.068) | InternetService_Fiber optic (+0.225) | MultipleLines (+0.219),Priority call — offer annual plan + early loyalty reward
261,1,35.55,35.55,0,0,0,0.931728,High Risk,1,1,charges_per_tenure (+1.036) | PhoneService (+0.448) | PaymentMethod_Electronic check (+0.204),Priority call — offer annual plan + early loyalty reward
475,1,74.5,74.5,0,0,1,0.92934775,High Risk,1,1,charges_per_tenure (+1.504) | InternetService_Fiber optic (+0.227) | Contract_Two year (+0.211),Priority call — offer annual plan + early loyalty reward
1376,4,84.6,360.1,0,0,1,0.9291696,High Risk,1,1,charges_per_tenure (+1.037) | InternetService_Fiber optic (+0.226) | MultipleLines (+0.225),Priority call — offer annual plan + early loyalty reward
1061,9,94.4,857.25,0,0,1,0.92791605,High Risk,1,1,charges_per_tenure (+0.803) | InternetService_Fiber optic (+0.277) | MonthlyCharges (+0.258),Priority call — offer annual plan + early loyalty reward
1372,1,70.6,70.6,0,0,1,0.9278916,High Risk,1,1,charges_per_tenure (+1.450) | InternetService_Fiber optic (+0.219) | Contract_Two year (+0.213),Priority call — offer annual plan + early loyalty reward
510,1,80.0,80.0,0,0,1,0.92712873,High Risk,1,1,charges_per_tenure (+1.582) | InternetService_Fiber optic (+0.222) | Contract_Two year (+0.216),Priority call — offer annual plan + early loyalty reward
929,4,80.3,324.2,0,0,1,0.92699015,High Risk,0,1,charges_per_tenure (+1.257) | InternetService_Fiber optic (+0.226) | MultipleLines (+0.214),Priority call — offer annual plan + early loyalty reward
610,1,75.3,75.3,0,0,1,0.92609924,High Risk,1,1,charges_per_tenure (+1.698) | InternetService_Fiber optic (+0.218) | Contract_Two year (+0.214),Priority call — offer annual plan + early loyalty reward
71,1,74.25,74.25,0,0,1,0.9260834,High Risk,1,1,charges_per_tenure (+1.553) | Contract_Two year (+0.217) | InternetService_Fiber optic (+0.214),Priority call — offer annual plan + early loyalty reward
547,1,25.05,25.05,0,0,0,0.92505586,High Risk,1,1,charges_per_tenure (+0.915) | SeniorCitizen (+0.432) | PhoneService (+0.368),Priority call — offer annual plan + early loyalty reward
1088,3,105.35,323.25,0,0,1,0.92403734,High Risk,1,1,charges_per_tenure (+1.363) | InternetService_Fiber optic (+0.230) | Contract_Two year (+0.190),Priority call — offer annual plan + early loyalty reward
380,2,30.4,78.65,0,0,0,0.92386067,High Risk,1,1,charges_per_tenure (+0.805) | PhoneService (+0.331) | TotalCharges (+0.321),Priority call — offer annual plan + early loyalty reward
15,2,90.4,168.2,0,0,1,0.92372864,High Risk,1,1,charges_per_tenure (+1.348) | InternetService_Fiber optic (+0.218) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
616,2,79.95,174.45,0,0,1,0.9226207,High Risk,0,1,charges_per_tenure (+1.220) | Contract_Two year (+0.206) | InternetService_Fiber optic (+0.205),Priority call — offer annual plan + early loyalty reward
1392,6,95.75,573.75,0,0,1,0.9221656,High Risk,1,1,charges_per_tenure (+1.082) | InternetService_Fiber optic (+0.245) | MonthlyCharges (+0.234),Priority call — offer annual plan + early loyalty reward
900,1,70.0,70.0,0,0,1,0.92171526,High Risk,1,1,charges_per_tenure (+1.505) | InternetService_Fiber optic (+0.217) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
464,3,77.0,237.75,0,0,1,0.9211777,High Risk,1,1,charges_per_tenure (+0.997) | MultipleLines (+0.245) | InternetService_Fiber optic (+0.234),Priority call — offer annual plan + early loyalty reward
715,2,79.6,195.05,0,0,1,0.9169745,High Risk,1,1,charges_per_tenure (+1.167) | Contract_Two year (+0.211) | InternetService_Fiber optic (+0.186),Priority call — offer annual plan + early loyalty reward
341,8,85.2,695.75,0,0,1,0.91644204,High Risk,0,1,charges_per_tenure (+0.760) | InternetService_Fiber optic (+0.268) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
34,1,70.45,70.45,0,0,1,0.9162001,High Risk,1,1,charges_per_tenure (+1.477) | Contract_Two year (+0.218) | tenure (+0.212),Priority call — offer annual plan + early loyalty reward
862,5,85.3,424.15,0,0,1,0.9159198,High Risk,1,1,charges_per_tenure (+1.131) | InternetService_Fiber optic (+0.240) | MultipleLines (+0.234),Priority call — offer annual plan + early loyalty reward
107,1,71.1,71.1,0,0,1,0.9156811,High Risk,0,1,charges_per_tenure (+1.629) | high_risk_flag (+0.234) | Contract_Two year (+0.217),Priority call — offer annual plan + early loyalty reward
1166,5,82.75,417.75,0,0,1,0.91481936,High Risk,0,1,charges_per_tenure (+1.111) | MultipleLines (+0.276) | InternetService_Fiber optic (+0.232),Priority call — offer annual plan + early loyalty reward
1326,2,80.95,171.15,0,0,1,0.9141899,High Risk,1,1,charges_per_tenure (+1.220) | Contract_Two year (+0.209) | InternetService_Fiber optic (+0.204),Priority call — offer annual plan + early loyalty reward
394,9,90.1,816.8,0,0,1,0.913699,High Risk,0,1,charges_per_tenure (+0.764) | InternetService_Fiber optic (+0.275) | Contract_Two year (+0.208),Priority call — offer annual plan + early loyalty reward
126,6,82.85,460.25,0,0,1,0.91343886,High Risk,1,1,charges_per_tenure (+0.998) | InternetService_Fiber optic (+0.254) | MultipleLines (+0.212),Priority call — offer annual plan + early loyalty reward
503,4,76.05,318.9,0,0,1,0.9132275,High Risk,1,1,charges_per_tenure (+1.106) | MultipleLines (+0.228) | InternetService_Fiber optic (+0.228),Priority call — offer annual plan + early loyalty reward
376,21,104.35,2271.85,0,0,1,0.91277194,High Risk,0,1,charges_per_tenure (+0.480) | InternetService_Fiber optic (+0.327) | MonthlyCharges (+0.257),Priority call — service quality review + plan optimisation
497,1,102.45,102.45,0,0,1,0.91184783,High Risk,1,1,charges_per_tenure (+1.364) | InternetService_Fiber optic (+0.215) | Contract_Two year (+0.205),Priority call — offer annual plan + early loyalty reward
276,11,95.15,997.65,0,0,1,0.911544,High Risk,1,1,charges_per_tenure (+0.562) | InternetService_Fiber optic (+0.306) | MultipleLines (+0.188),Priority call — offer annual plan + early loyalty reward
1093,1,75.35,75.35,0,0,1,0.9112277,High Risk,0,1,charges_per_tenure (+1.671) | TotalCharges (+0.277) | high_risk_flag (+0.237),Priority call — offer annual plan + early loyalty reward
329,8,90.25,743.75,0,0,1,0.9110348,High Risk,0,1,charges_per_tenure (+1.007) | InternetService_Fiber optic (+0.265) | MultipleLines (+0.234),Priority call — offer annual plan + early loyalty reward
437,6,105.3,545.2,0,0,1,0.90938103,High Risk,1,1,charges_per_tenure (+1.164) | InternetService_Fiber optic (+0.261) | Contract_Two year (+0.189),Priority call — offer annual plan + early loyalty reward
334,1,71.0,71.0,0,0,1,0.9082211,High Risk,1,1,charges_per_tenure (+1.371) | Contract_Two year (+0.206) | InternetService_Fiber optic (+0.199),Priority call — offer annual plan + early loyalty reward
1087,2,75.8,160.75,0,0,1,0.9080204,High Risk,1,1,charges_per_tenure (+1.441) | Contract_Two year (+0.206) | InternetService_Fiber optic (+0.184),Priority call — offer annual plan + early loyalty reward
669,1,71.35,71.35,0,0,1,0.9076993,High Risk,1,1,charges_per_tenure (+1.413) | Contract_Two year (+0.213) | InternetService_Fiber optic (+0.212),Priority call — offer annual plan + early loyalty reward
1179,2,79.0,143.65,0,0,1,0.9074008,High Risk,1,1,charges_per_tenure (+1.443) | Contract_Two year (+0.207) | high_risk_flag (+0.191),Priority call — offer annual plan + early loyalty reward
586,8,87.05,762.1,0,0,1,0.9073046,High Risk,1,1,charges_per_tenure (+0.826) | InternetService_Fiber optic (+0.281) | Contract_Two year (+0.206),Priority call — offer annual plan + early loyalty reward
357,3,75.85,256.6,0,0,1,0.9072522,High Risk,1,1,charges_per_tenure (+1.068) | MultipleLines (+0.221) | InternetService_Fiber optic (+0.218),Priority call — offer annual plan + early loyalty reward
353,4,74.35,265.35,0,0,1,0.9070844,High Risk,1,1,charges_per_tenure (+0.976) | InternetService_Fiber optic (+0.223) | MultipleLines (+0.213),Priority call — offer annual plan + early loyalty reward
793,1,73.5,73.5,0,0,1,0.9068757,High Risk,1,1,charges_per_tenure (+1.558) | high_risk_flag (+0.237) | Contract_Two year (+0.219),Priority call — offer annual plan + early loyalty reward
53,8,80.65,633.3,0,0,1,0.906578,High Risk,1,1,charges_per_tenure (+0.864) | InternetService_Fiber optic (+0.277) | high_risk_flag (+0.214),Priority call — offer annual plan + early loyalty reward
454,4,89.6,365.65,0,0,1,0.9059431,High Risk,1,1,charges_per_tenure (+1.348) | InternetService_Fiber optic (+0.246) | high_risk_flag (+0.234),Priority call — offer annual plan + early loyalty reward
185,1,71.65,71.65,0,0,1,0.9059123,High Risk,1,1,charges_per_tenure (+1.402) | InternetService_Fiber optic (+0.218) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
1299,24,104.25,2433.9,0,0,1,0.90294915,High Risk,1,1,charges_per_tenure (+0.334) | InternetService_Fiber optic (+0.311) | MonthlyCharges (+0.249),Priority call — service quality review + plan optimisation
1127,4,77.85,299.2,0,0,1,0.9004106,High Risk,1,1,charges_per_tenure (+0.986) | InternetService_Fiber optic (+0.230) | Contract_Two year (+0.204),Priority call — offer annual plan + early loyalty reward
863,2,80.55,184.1,0,0,1,0.9000967,High Risk,1,1,charges_per_tenure (+1.218) | Contract_Two year (+0.209) | InternetService_Fiber optic (+0.197),Priority call — offer annual plan + early loyalty reward
717,7,89.0,605.45,0,0,1,0.89783484,High Risk,0,1,charges_per_tenure (+0.931) | InternetService_Fiber optic (+0.257) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
137,4,75.65,302.35,0,0,1,0.8938219,High Risk,0,1,charges_per_tenure (+1.063) | MultipleLines (+0.228) | InternetService_Fiber optic (+0.226),Priority call — offer annual plan + early loyalty reward
346,16,96.4,1581.2,0,0,1,0.89375544,High Risk,1,1,MonthlyCharges (+0.378) | InternetService_Fiber optic (+0.299) | charges_per_tenure (+0.277),Priority call — service quality review + plan optimisation
490,4,44.55,174.3,0,0,0,0.8933359,High Risk,1,1,charges_per_tenure (+0.627) | PhoneService (+0.360) | PaymentMethod_Electronic check (+0.219),Priority call — offer annual plan + early loyalty reward
214,2,35.1,68.75,0,0,0,0.8930691,High Risk,1,1,charges_per_tenure (+0.921) | PhoneService (+0.340) | PaymentMethod_Electronic check (+0.193),Priority call — offer annual plan + early loyalty reward
1281,3,99.0,287.4,0,0,1,0.89040995,High Risk,1,1,charges_per_tenure (+0.839) | MonthlyCharges (+0.544) | Contract_Two year (+0.207),Priority call — offer annual plan + early loyalty reward
194,10,85.6,813.85,0,0,1,0.89016247,High Risk,1,1,charges_per_tenure (+0.564) | InternetService_Fiber optic (+0.294) | Contract_Two year (+0.204),Priority call — offer annual plan + early loyalty reward
1261,7,89.15,574.35,0,0,1,0.8892675,High Risk,0,1,charges_per_tenure (+0.918) | InternetService_Fiber optic (+0.258) | Contract_Two year (+0.209),Priority call — offer annual plan + early loyalty reward
1362,3,75.5,220.6,0,0,1,0.88876474,High Risk,1,1,charges_per_tenure (+0.960) | InternetService_Fiber optic (+0.240) | MultipleLines (+0.234),Priority call — offer annual plan + early loyalty reward
524,1,50.5,50.5,0,0,0,0.88802415,High Risk,1,1,charges_per_tenure (+1.519) | Contract_Two year (+0.192) | PaymentMethod_Electronic check (+0.165),Priority call — offer annual plan + early loyalty reward
1086,1,35.0,35.0,0,0,0,0.8877313,High Risk,0,1,charges_per_tenure (+0.941) | PhoneService (+0.376) | PaymentMethod_Electronic check (+0.200),Priority call — offer annual plan + early loyalty reward
882,2,74.9,136.05,0,0,1,0.8869836,High Risk,0,1,charges_per_tenure (+1.061) | MultipleLines (+0.236) | Contract_Two year (+0.207),Priority call — offer annual plan + early loyalty reward
1331,5,85.3,420.45,0,0,1,0.88517743,High Risk,0,1,charges_per_tenure (+1.146) | InternetService_Fiber optic (+0.240) | Contract_Two year (+0.213),Priority call — offer annual plan + early loyalty reward
775,14,74.95,1036.75,0,0,1,0.8848062,High Risk,1,1,charges_per_tenure (+0.429) | InternetService_Fiber optic (+0.273) | PaymentMethod_Electronic check (+0.243),Priority call — personalised retention offer
360,6,73.85,401.3,0,0,1,0.88323885,High Risk,0,1,charges_per_tenure (+1.017) | InternetService_Fiber optic (+0.242) | Contract_Two year (+0.204),Priority call — offer annual plan + early loyalty reward
59,6,74.9,469.8,0,0,1,0.88317204,High Risk,1,1,charges_per_tenure (+0.969) | InternetService_Fiber optic (+0.270) | MultipleLines (+0.222),Priority call — offer annual plan + early loyalty reward
1144,9,84.4,732.5,0,0,1,0.8814687,High Risk,1,1,charges_per_tenure (+0.508) | InternetService_Fiber optic (+0.276) | Contract_Two year (+0.212),Priority call — offer annual plan + early loyalty reward
1305,7,74.4,527.9,0,0,1,0.88085246,High Risk,1,1,charges_per_tenure (+0.876) | InternetService_Fiber optic (+0.256) | Contract_Two year (+0.205),Priority call — offer annual plan + early loyalty reward
436,4,80.35,307.4,0,0,1,0.87877935,High Risk,1,1,charges_per_tenure (+0.830) | InternetService_Fiber optic (+0.221) | Contract_Two year (+0.206),Priority call — offer annual plan + early loyalty reward
108,14,75.1,1013.35,0,0,1,0.87859654,High Risk,0,1,charges_per_tenure (+0.409) | InternetService_Fiber optic (+0.272) | PaymentMethod_Electronic check (+0.245),Priority call — service quality review + plan optimisation
614,15,79.4,1156.1,0,0,1,0.8775343,High Risk,1,1,charges_per_tenure (+0.391) | TotalCharges (+0.326) | InternetService_Fiber optic (+0.258),Priority call — service quality review + plan optimisation
1,7,78.55,522.95,0,0,1,0.8749162,High Risk,0,1,charges_per_tenure (+0.971) | InternetService_Fiber optic (+0.301) | high_risk_flag (+0.223),Priority call — offer annual plan + early loyalty reward
682,17,92.55,1614.7,0,0,1,0.87445396,High Risk,0,1,charges_per_tenure (+0.378) | InternetService_Fiber optic (+0.292) | PaymentMethod_Electronic check (+0.249),Priority call — service quality review + plan optimisation
1105,1,25.05,25.05,0,0,0,0.87246203,High Risk,1,1,charges_per_tenure (+1.022) | SeniorCitizen (+0.505) | PhoneService (+0.264),Priority call — offer annual plan + early loyalty reward
265,1,53.5,53.5,0,0,0,0.8723927,High Risk,1,1,charges_per_tenure (+1.440) | Contract_Two year (+0.199) | Contract_One year (+0.155),Priority call — offer annual plan + early loyalty reward
526,9,88.4,788.6,0,0,1,0.8715008,High Risk,0,1,charges_per_tenure (+0.787) | InternetService_Fiber optic (+0.275) | Contract_Two year (+0.217),Priority call — offer annual plan + early loyalty reward
888,3,40.15,130.75,0,0,0,0.86993974,High Risk,1,1,charges_per_tenure (+0.926) | PhoneService (+0.346) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
1034,3,89.45,240.45,0,0,1,0.8692652,High Risk,1,1,charges_per_tenure (+0.856) | InternetService_Fiber optic (+0.256) | Contract_Two year (+0.208),Priority call — offer annual plan + early loyalty reward
145,47,106.35,4849.1,0,0,1,0.86743414,High Risk,0,1,MonthlyCharges (+0.426) | InternetService_Fiber optic (+0.295) | TotalCharges (+0.189),Priority call — service quality review + plan optimisation
393,3,85.7,256.75,0,0,1,0.8666875,High Risk,0,1,charges_per_tenure (+1.068) | Contract_Two year (+0.217) | TotalCharges (+0.213),Priority call — offer annual plan + early loyalty reward
1244,2,42.6,72.4,0,0,0,0.86563015,High Risk,1,1,charges_per_tenure (+0.989) | PhoneService (+0.355) | Contract_Two year (+0.182),Priority call — offer annual plan + early loyalty reward
650,14,104.85,1531.4,0,0,1,0.86247694,High Risk,1,1,InternetService_Fiber optic (+0.325) | charges_per_tenure (+0.289) | PaymentMethod_Electronic check (+0.224),Priority call — service quality review + plan optimisation
1335,7,75.4,533.05,0,0,1,0.8624425,High Risk,0,1,charges_per_tenure (+0.748) | InternetService_Fiber optic (+0.267) | MultipleLines (+0.224),Priority call — offer annual plan + early loyalty reward
193,1,55.45,55.45,0,0,0,0.86231154,High Risk,0,1,charges_per_tenure (+1.347) | Contract_Two year (+0.193) | PaymentMethod_Electronic check (+0.171),Priority call — offer annual plan + early loyalty reward
1023,37,100.05,3810.55,0,0,1,0.8618075,High Risk,0,1,MonthlyCharges (+0.401) | PaymentMethod_Electronic check (+0.295) | InternetService_Fiber optic (+0.281),Priority call — service quality review + plan optimisation
683,10,94.9,1048.85,0,0,1,0.8607746,High Risk,1,1,charges_per_tenure (+0.535) | InternetService_Fiber optic (+0.281) | TotalCharges (+0.218),Priority call — offer annual plan + early loyalty reward
12,14,78.1,1122.4,0,0,1,0.8593964,High Risk,0,1,TotalCharges (+0.369) | charges_per_tenure (+0.322) | InternetService_Fiber optic (+0.284),Priority call — service quality review + plan optimisation
1097,6,80.5,463.05,0,0,1,0.85798764,High Risk,1,1,charges_per_tenure (+1.000) | InternetService_Fiber optic (+0.261) | Contract_Two year (+0.212),Priority call — offer annual plan + early loyalty reward
396,7,75.1,552.95,0,0,1,0.85771537,High Risk,1,1,charges_per_tenure (+0.856) | InternetService_Fiber optic (+0.286) | MultipleLines (+0.214),Priority call — offer annual plan + early loyalty reward
1233,1,50.75,50.75,0,0,0,0.8575875,High Risk,0,1,charges_per_tenure (+1.741) | Contract_Two year (+0.198) | Contract_One year (+0.171),Priority call — offer annual plan + early loyalty reward
364,26,98.35,2515.3,0,0,1,0.85622174,High Risk,1,1,MonthlyCharges (+0.384) | PaymentMethod_Electronic check (+0.282) | InternetService_Fiber optic (+0.264),Priority call — service quality review + plan optimisation
177,4,73.9,280.85,0,0,1,0.8511409,High Risk,1,1,charges_per_tenure (+0.836) | Contract_Two year (+0.203) | InternetService_Fiber optic (+0.196),Priority call — offer annual plan + early loyalty reward
